iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,timestamp
0,02,mouse,0,8,50,450,7,957
0,02,mouse,0,8,50,450,3,1674
0,02,mouse,0,8,50,450,0,2243
0,02,mouse,0,8,50,450,4,2944
0,02,mouse,0,8,50,450,1,3665
0,02,mouse,0,8,50,450,5,4251
0,02,mouse,0,8,50,450,2,4860
0,02,mouse,0,8,50,450,6,5446
1,02,mouse,0,8,50,450,7,736
1,02,mouse,0,8,50,450,3,1252
1,02,mouse,0,8,50,450,0,1770
1,02,mouse,0,8,50,450,4,2381
1,02,mouse,0,8,50,450,1,2906
1,02,mouse,0,8,50,450,5,3431
1,02,mouse,0,8,50,450,2,3894
1,02,mouse,0,8,50,450,6,4436
2,02,mouse,0,8,50,450,0,718
2,02,mouse,0,8,50,450,4,1200
2,02,mouse,0,8,50,450,1,1719
2,02,mouse,0,8,50,450,5,2432
2,02,mouse,0,8,50,450,2,2928
2,02,mouse,0,8,50,450,6,3798
2,02,mouse,0,8,50,450,3,4401
2,02,mouse,0,8,50,450,7,4997
